GENUS.SPECIES,DORMANCY.CLASS
Coula edulis,MPD
Coula gore,MPD
Couma guianensis,ND
Couma utilis,ND
Couratari asterotricha,PD
Couratari stellata,PD
Couroupita guianensis,ND
Couroupita oblongifolia,ND
Coursetia axillarix,PY
Coussapoa magnifoliaa,ND
Coussarea curvigemmia,PD
Coussarea hydrangeaefolia,PD
Coutarea hexandra,ND
Cowania stansburiana,PD
Craibiodendron stellatum,PD
Crambe arborea,PD
Crambe scaberrima,PD
Crambe strigosa,PD
Craspedia variabilis,PD
Crassocephalum crepidioides,ND
Crassocephalum rubens,PD
Crassula alsinoides,PD
Crassula closiana,PD
Crataegus anomala,PD
Crataegus coccinea,PD
Crataegus cordata,PD
Crataegus crus-galli,PD
Crataegus douglasii,PD
Crataegus flava,PD
Crataegus kansuensis,PD
Crataegus laevigata,PD
Crataegus mollis,PD
Crataegus monogyna,PD
Crataegus monogyna,PD
Crataegus pedicellata,PD
Crataegus phaenopyrum,PD
Crataegus pubescens,PD
Crataegus punctata,PD
Crataegus rivularis,PD
Crataegus rotundifolia,PD
Crataegus submollis,PD
Crataegus succulenta,PD
Crataegus tracyi,PD
Crataegus x sinaica,PD
Crataeva benthami,ND
Crataeva nurvala,PD
Crataeva religiosa,PD
Cratoxylum cochinchinense,PD
Cratoxylum cochinchinensis,PD
Cratoxylum formosum,ND
Cratoxylum formosum,PD
Cremanthodium bruneopilosum,PD
Cremanthodium lineare,ND
Crepis tectorum,ND
Crescentia alata,ND
Crescentia amazonica,ND
Crescentia cujete,ND
Crescentia cujete,ND
Cressa cretica,PY
Crinodendron hookerianum,PD
Crinodendron hookerianum,PD
Crinodendron patagua,PD
Crithmum maritimum,MPD
Crossonephelis penangensis,ND
Crotalaria burhia,PY
Crotalaria calycina,PY
Crotalaria cunninghamii,PY
Crotalaria grandibracteata,PY
Crotalaria lanceolata,PY
Crotalaria lanceolata,PY
Crotalaria medicaginea,PY
Crotalaria medicaginea,PY
Crotalaria montana,PY
Crotalaria montana,PY
Crotalaria mucronata,PY
Crotalaria pallida,PY
Crotalaria pumila,PY
Crotalaria verrucosa,PY
Crotolaria pumila,PY
Crotolaria spectabilis,PY
Croton alabamensis,PD
Croton argyratum,ND
Croton argyratum,PD
Croton aubrevillei,ND
Croton floribundus,ND
Croton floribundus,PD
Croton lanjouwensis,ND
Croton macrostachyus,PD
Croton macrostachyus,PD
Croton megalocarpus,ND
Croton megalocarpus,PD
Croton megalocarpus,PD
Croton piptocalyx,PD
Croton priscus,ND
Croton punctatus,PD
Croton torreyanus,PD
Crowea angustifolia,PD
Crudia amazonica,ND
Crudia amazonica,PY
Crudia curtisii,PY
Crudia gabonensis,PY
Crudia klainei,PY
Crudia pubescens,PY
Crudia senegalensis,PY
Crupina vulgaris,PD
Cryosophila warscewiczii,MPD
Cryptandra arbutifolia,PY
Cryptantha minima,PD
Cryptantha pectocarya,PD
Cryptocarpa alba,ND
Cryptocarya alba,ND
Cryptocarya aschersoniana,ND
Cryptocarya concinna,PD
Cryptocarya ferrea,ND
Cryptocarya ferrea,PD
Cryptocarya floribunda,PD
Cryptocarya hypaspodia,ND
Cryptocarya mackinnoniana,PD
Cryptocarya mackinnoniana,PD
Cryptocarya mannii,PD
Cryptocarya murrayi,ND
Cryptocarya oblata,ND
Cryptocarya wightiana,PD
Cryptomeria japonica,ND
Cryptostegia grandiflora,ND
Cryptostegia grandiflora,PD
Cryptostegia grandiflora,PD
Cryptotaenia canadensis,MPD
Cryptotaenia elegans,MPD
Ctenium cirrhosum,PD
Cucubalus baccifer,PD
Cucumeropsis manni,ND
Cucumis anguria,PD
Cucumis callosus,PD
Cucumis myriocarpus,PD
Cucurbita foetidissima,PD
Cucurbita texana,PD
Cudrania cochinchinensis,PD
Cullen cinerea,PY
Cullen tenax,PY
Cuminia eriantha,PD
Cunninghamia lanceolata,ND
Cunonia macrophylla,PD
Cunonia pruionsa,PD
Cupania americana,ND
Cupania americana,PD
Cupania emarginata,ND
Cupania emarginata,PY
Cupania latifolia,PD
Cupania sylvatica,ND
Cupania vernalis,PD
Cupaniopsis flagelliformis,ND
Cupaniopsis flagelliformis,PY
Cupaniopsis foveolata,ND
Cupaniopsis foveolata,PY
Cuphea carthagenensis,ND
Cuphea laminuligera,PD
Cuphea viscosissima,PD
Cuphea wrightii,PD
Cupressus arizonica,PD
Cupressus cashmeriana,PD
Cupressus chenggiana,PD
Cupressus duclouxiana,PD
Cupressus dupreziana,PD
Cupressus funebris,PD
Cupressus glabra,PD
Cupressus goveniana,PD
Cupressus lindleyi,PD
Cupressus lusitanica,ND
Cupressus macnabiana,PD
Cupressus macrocarpa,PD
Cupressus pygmaea,PD
Cupressus sempervirens,PD
Cupressus torulosa,PD
Curatella americana,MD
Cuscuta chinensis,PY
Cuscuta chinensis,PY
Cuscuta europea,PY
Cuscuta japonica,PY
Cuscuta japonica,PY
Cussonia bancoensis,MD
Cutandia dichotoma,PD
Cutandia philistea,PD
Cyananthus hookeri,PD
Cyanea angustifolia,MPD
Cyanea grimesiana,MPD
Cyanea kunthiana,MD
Cyanea membranacea,MPD
Cyanostegia angustifolia,PD
Cyanostegia lanceolata,PD
Cyathocalyx pruniferus,MPD
Cybistax antisyphilitica,PD
Cycas circinalis,MPD
Cycas revoluta,MPD
Cyclamen persicum,PD
Cyclobalanopsis gilva,ND
Cyclobalanopsis glauca,PD
Cyclobalanopsis litseoides,PD
Cyclobalanopsis morii,PD
Cyclocarya paliurus,PD
Cyclopia pubescens,PY
Cyclospermum leptophyllum,MPD
Cydista aequinoctalis,PD
Cylicodiscus gabunensis,ND
Cymbaria dahurica,PD
Cymbopetalum baillonii,MPD
Cymbopogon jwarancusa,PD
Cymbopogon obtectus,PD
Cymbopogon refractus,PD
Cymodocea ciliata,ND
Cymodocea nodosa,PD
Cymodocea rotundata,ND
Cymopterus acaulis,MD
Cynanchum auriculatum,PD
Cynanchum barbigerum,PD
Cynanchum bungei,PD
Cynanchum inamoenum,PD
Cynanchum otophyllum,PD
Cynanchum paniculatum,PD
Cynanchum thesioides,PD
Cynodon dactylon,ND
Cynoglossum amabile,PD
Cynoglossum divaricatum,PD
Cynoglossum lanceolatum,PD
Cynoglossum officinale,PD
Cynometra ananta,ND
Cynometra bauhiniifolia,ND
Cynometra bauhiniifolia,PY
Cynometra cauliflora,PY
Cynometra elmer,PY
Cynometra megalophylla,ND
Cynometra spruceana,PY
Cynomorium songaricum,MPD
Cyperus aristatus,PD
Cyperus diandrus,PD
Cyperus erythrorhizos,PD
Cyperus esculentus,PD
Cyperus flavicomus,PD
Cyperus granitophilous,PD
Cyperus iria,PD
Cyperus odoratus,PD
Cyperus odoratus,PD
Cyperus papyrus,ND
Cyperus rivularis,PD
Cyperus rotundus,PD
Cyperus schweinitzii,PD
Cyperus scoparia,PD
Cyperus sesquiflorus,PD
Cyperus sphacelatus,ND
Cyperus squarrosus,PD
Cyperus ustulatus,PD
Cyphanthera odgersii,PD
Cyrtandra cordifolia,ND
Cyrtandra grandiflora,ND
Cyrtandra lessoniana,ND
Cyrtandra longifolia,ND
Cyrtococcum patens,ND
Cyrtostachys renda,MPD
Cyrtostachys renda,MPD
Cytisus arboreus,PY
Cytisus balansae,PY
Cytisus florida,PY
Cytisus heterochrous,PY
Cytisus insularis,PY
Cytisus multiflorus,PY
Cytisus patens,PY
Cytisus reverchonii,PY
Cytisus scoparius,PY
Cytisus striatus,PY
Dacrycarpus dacrydiodes,MPD
Dacrydium comosum,MPD
Dacrydium cupressinum,MPD
Dacrydium dacrycarpus,MPD
Dacryodes costata,ND
Dacryodes edulis,ND
Dacryodes excelsa,ND
Dacryodes kingii,PD
Dacryodes klaineana,ND
Dacryodes laxa,PD
Dacryodes rostrata,ND
Dacryodes rugosa,ND
Dacryodes rugosa,PD
Dactylis glomerata,PD
Dactylis glomerata,PD
Dactyloctenium aegyptium,PD
Dactyloctenium aegyptium,PD
Dactyloctenium aegyptium,PD
Dactyloctenium aegyptium,PD
Dactyloctenium radulans,PD
Daemonoropus calicarpa,MPD
Daemonoropus cristata,MPD
Daemonoropus didymophylla,MPD
Daemonoropus geniculata,MPD
Daemonoropus grandis,MPD
Daemonoropus margaritae,MPD
Daemonoropus microstachys,MPD
Daemonoropus periacantha,MPD
Daemonoropus sabu,MPD
Daemonoropus verticillaris,MPD
Dahlia coccinea,PD
Dalbergia assamica,PY
Dalbergia bariaensis,PY
Dalbergia cochinchinensis,ND
Dalbergia cochinchinensis,ND
Dalbergia cochinchinensis,PY
Dalbergia cochinchinensis,PY
Dalbergia cultrata,ND
Dalbergia cultrata,PY
Dalbergia fusca,ND
Dalbergia inundata,ND
Dalbergia inundata,PY
Dalbergia latifolia,ND
Dalbergia latifolia,PY
Dalbergia melanoxylon,PY
Dalbergia miscolobium,ND
Dalbergia nigra,ND
Dalbergia nigra,ND
Dalbergia oliveri,ND
Dalbergia oliveri,PY
Dalbergia retusa,ND
Dalbergia riedelli,ND
Dalbergia riedelli,PY
Dalbergia rimosa,ND
Dalbergia rimosa,PY
Dalbergia riparia,PY
Dalbergia riparia,PY
Dalbergia sissoo,ND
Dalbergia sissoo,PY
Dalbergia spruceana,ND
Dalbergia villosa,ND
Dalbergia violacea,ND
Dalea candidum,PY
Dalea foliosa,PY
Dalea gattingeri,PY
Dalea purpureum,PY
Dalechampia pentaphylla,PD
Dalhousiea africana,PY
Dalzellia zeylanica,PD
Dampiera ellsiana,PD
Dampiera eriocephala,PD
Dampiera spicigera,PD
Daniellia thurifera,ND
Danthonia californica,PD
Danthonia decumbens,PD
Danthonia eriantha,PD
Danthonia linkii,PD
Danthonia pallida,PD
Danthonia spicata,PD
Daphne gnidum,PD
Daphne mezereum,PD
Daphne mezereum,PD
Daphne papyracea,ND
Daphne retusa,PD
Daphniphyllum glaucescens,MPD
Daphniphyllum neilgrensis,MPD
Daphnopsis americana,PD
Daphyniphyllum himalaense,MPD
Darwinia acerosa,PD
Darwinia biflora,PD
Darwinia carnea,PD
Darwinia chapmaniana,PD
Darwinia citriodora,PD
Darwinia collina,PD
Darwinia diminuta,PD
Darwinia diosmoides,PD
Darwinia fascicularis,PD
Darwinia ferricola,PD
Darwinia glaucophylla,PD
Darwinia helichrysoides,PD
Darwinia lejostyla,PD
Darwinia neildiana,PD
Darwinia oldfieldii,PD
Darwinia oxylepis,PD
Darwinia procera,PD
Darwinia purpurea,PD
Darwinia squarrosa,PD
Darwinia thymoides,PD
Darwinia wittwerorum,PD
Dasypogon bromeliifolius,MPD
Datura alba,ND
Datura ferox,PD
Datura stramonium,PD
Datura stramonium,PD
Daucus carota,MD
Daucus carota,MD
Daucus pusillus*,MPD
Davidia involucrata,PD
Davidia involucrata,PD
Daviesia alternifolia,PY
Daviesia bursarioides,PY
Daviesia campephylla,PY
Daviesia cordata,PY
Daviesia cunderdin,PY
Daviesia decurrens,PY
Daviesia elongata,PY
Daviesia euphorbioides,PY
Daviesia horrida,PY
Daviesia megacalyx,PY
Daviesia microcarpa,PY
Daviesia oxylobium,PY
Daviesia preissii,PY
Daviesia pseudaphylla,PY
Daviesia spiralis,PY
Davilla nitida,MPD
Debregeasia longifolia,ND
Decaspermum fruticosum,PD
Deckenia nobilis,MPD
Decussocarpus rospigliosii,MD
Dedeckera eurekensis,PD
Deeringothamnus rugelii,MPD
Deguelia costata,ND
Dehaasia incrassata,PD
Deinbollia pinnata,ND
Delarbrea michieana,MPD
Delissea rhytidosperma,MPD
Delissea subcordata,MD
Delissea subcordata,MPD
Delonix elata,PY
Delonix regia,PY
Delosperma herbeum,ND
Delosperma richardsonii,PD
Delphinium alabamicum,MPD
Delphinium barbeyi,MPD
Delphinium camphylocentrum,MPD
Delphinium cardinale,MPD
Delphinium carolinianum,MD
Delphinium densiflorum,MPD
Delphinium elatum,MPD
Delphinium exaltatum,MPD
Delphinium fissum subsp. sordidum,MPD
Delphinium fissum subsp. sordidum,MPD
Delphinium geraniifolium,MPD
Delphinium geyeri,MPD
Delphinium grandiflorum,MPD
Delphinium kamaonense,MD
Delphinium nelsonii,MPD
Delphinium occidentale,MPD
Delphinium parishii,MPD
Delphinium purpusii,MPD
Delphinium pylzowii,MD
Delphinium siwanense,MPD
Delphinium tricorne,MPD
Dendrocalamus giganteus,ND
Dendrocalamus hamiltonii,ND
Dendrocalamus longispathus,ND
Dendrocalamus sikkimensis,ND
Dendrocalamus strictus,ND
Dendrocalamus strictus,ND
Dendroenide moroides,ND
Dendromecon rigida,MPD
Dendropanax arboreus,MD
Dendropanax arboreus,MPD
Dendropanax cuneatum,MPD
Dendrosenecio keniodendron,ND
Dendroseris litoralisg,ND
Deplanchia tetraphylla,PD
Derris dalbergioides,ND
Derris nigrensis,ND
Derris nigrensis,PY
Deschampsia caespitosa,PD
Deschampsia cespitosa,ND
Deschampsia flexuosa,PD
Deschampsia littoralis,PD
Deschampsia nubigena,ND
Deschampsia nubigena,PD
Descurainia bourgaeana,PD
Descurainia burgaeana,PD
Descurainia gilva,PD
Descurainia lemsii,PD
Descurainia millefolia,PD
Descurainia preauxiana,PD
Descurainia sophia,PD
Desmanthus bicornatus,PY
Desmanthus bicornotus,PY
Desmanthus depressus,PY
Desmanthus illinoensis,PY
Desmanthus leptophyllus,PY
Desmanthus pubescens,PY
Desmanthus velutinus,PY
Desmanthus virgatus,PY
Desmocladus semiplanus,PD
Desmodium barbatum,PY
Desmodium canescens,PY
Desmodium discolor,PY
Desmodium filiformae,PY
Desmodium heterocarpon,PY
Desmodium heterophyllum,PY
Desmodium incanum,PY
Desmodium incanum,PY
Desmodium paniculatum,PY
Desmodium sessilifolium,PY
Desmodium tiliaefolium,PY
Desmodium tortuosum,PY
Desmodium uncinatum,PY
Desmodium varians,PY
Desmodium velutinum,PY
Desmoncus horridus,MPD
Desmopsis panamensis,MPD
Desmos chinensis,MPD
Desplatsia chrysochlamys,ND
Desplatsia subericarpa,ND
Detarium macrocarpum,PY
Detarium microcarpum,PY
Deutzia crenata,PD
Deyeuxia flavens,PD
Deyeuxia scabrescens,PD
Dialium aubrevillei,ND
Dialium aubrevillei,PY
Dialium cochinchinensis,PY
Dialium dinklagei,ND
Dialium dinklagei,PY
Dialium guianense,PY
Dialium guineense,ND
Dialium guineense,PY
Dialium maingayi,PY
Dialium platysepalum,PY
Dialium senegalense,PY
Dialyanthera otoba,MPD
Diamorpha cymosa,PD
Dianella densifolius,MPD
Dianella longifolia,MPD
Dianella nigra,PD
Dianella revoluta,MPD
Dianella sandwicensis,PD
Dianella tarda,MPD
Dianella tasmanica,MPD
Dianella tasmanica,PD
Dianthus armeria,PD
Dianthus superbus,PD
Diapensia lapponica,PD
Diapensia lapponica,PD
Diarrhena americana,PD
Diatenopteryx sorbifolia,ND
Dicella bracteosa,ND
Dicentra chrysantha,MPD
Dicentra cucullaria,MPD
Dicentra eximia,MPD
Dicentra formosa,MPD
Dicentra formosa,MPD
Dicentra ochroleuca,MPD
Dichanthium annulatum,PD
Dichanthium sericeum,PD
Dichanthium sericeum,PD
Dichapetalum guineense,PD
Dichapetalum heudelotii,ND
Dichapetalum monbuttense,PD
Dichapetalum thollonii,PD
Dichapetalum unguiculatum,PD
Dichelachne micrantha,PD
Dichelostemma ida-maia,MPD
Dichelostemma parviflorum,MPD
Dichelostemma pulchellum,MPD
Dichondra repens,PY
Dichroa febrifuga,PD
Dichrocephala chrysanthemifolia,ND
Dichrocephala integrifolia,ND
Dichrostachys cinerea,PY
Dichrostachys cinerea,PY
Dichrostachys spicata,PY
Dicoma tomentosa,PD
Dicramostigma leptopodum,MPD
Dicranostyles ampla,ND
Dicranostyles ampla,PY
Dicrastylis fulva,PD
Dictyoloma vandellianum,ND
Dictyophleba stipulosa,ND
Dictyosperma album,MPD
Dictyosperma aureum,MPD
Didymopanax macrocarpum,MPD
Didymopanax morototoni,MPD
Didymopanax morototonii,MPD
Diectiomis fastigiata,PD
Dieffenbachia picta,ND
Dienbollia borbonica,ND
Diervilla lonicera,MD
Digera muricata,PD
Digitalis mariana,PD
Digitalis purpurea,ND
Digitaria adscendens,PD
Digitaria ammophila,PD
Digitaria brownii,PD
Digitaria brownii,PD
Digitaria californica,ND
Digitaria californica,ND
Digitaria californica,PD
Digitaria chrysoblephara,PD
Digitaria ciliaris,ND
Digitaria ciliaris,ND
Digitaria ciliaris,PD
Digitaria ciliaris,PD
Digitaria ciliaris,PD
Digitaria ciliaris,PD
Digitaria diminuta,PD
Digitaria ischaemum,PD
Digitaria longiflora,ND
Digitaria ramularis,PD
Digitaria sanguinalis,ND
Digitaria sanguinalis,PD
Digitaria velutina,PD
Digitaria velutina,PD
Dillenia albiflorus,MPD
Dillenia excelsa,MPD
Dillenia eximia,MPD
Dillenia grandifolia,MPD
Dillenia indica,MPD
Dillenia obovata,MPD
Dillenia ovata,MPD
Dillenia parviflora,MPD
Dillenia suffructicosa,MPD
Dillenia sumatrana,MPD
Dillwynia floribunda,PY
Dillwynia retorta,PY
Dilodendron bipinnatum,ND
Dimocarpus longan,ND
Dimorphandra jorgei,PY
Dimorphandra macrostachya,PY
Dimorphandra mollis,PY
Dimorphandra wilsonii,PY
Dimorphostemon glandulosus,PD
Dimorphotheca pluvialis,PD
Dimorphotheca polyptera,PD
Dimorphotheca sinuata,PD
Dimorphotheca tragus,PD
Dinizia excelsa,PY
Diocoreophyllum cumminsii,PD
Diodea teres,PD
Dioon spinulosum,MPD
Dioscorea composita,MD
Dioscorea deltoidea,MD
Dioscorea dregeana,PD
Dioscorea floribunda,MD
Dioscorea hastifolia,PD
Dioscorea izuensis,MPD
Dioscorea japonica,MPD
Dioscorea nipponica,ND
Dioscorea nipponica,PD
Dioscorea praehensilis,ND
Dioscorea quinqueloba,MPD
Dioscorea septemloba,MPD
Dioscorea tenuipes,MPD
Dioscorea tokoro,MPD
Dioscorea villosa,MPD
Diospyros abyssinica,PD
Diospyros andamanica,ND
Diospyros argentea,ND
Diospyros brasiliensis,PD
Diospyros coaetanea,ND
Diospyros coaetanea,PD
Diospyros confertiflora,ND
Diospyros confertiflora,PD
Diospyros cordifolia,PD
Diospyros diepenhorstii,ND
Diospyros diepenhorstii,PD
Diospyros discolor,ND
Diospyros ebenum,ND
Diospyros ehretioides,PD
Diospyros embryopteris,ND
Diospyros ferrea,ND
Diospyros gabonensis,ND
Diospyros glandulosa,PD
Diospyros hebecarpa,ND
Diospyros hillebrandii,PD
Diospyros hispida,PD
Diospyros ierensis,PD
Diospyros ismailii,ND
Diospyros ismailii,PD
Diospyros khaki,PD
Diospyros kirkii,PD
Diospyros lycioides,PD
Diospyros maingayi,PD
Diospyros malabarica,ND
Diospyros mannii,ND
Diospyros maritima,ND
Diospyros marmorata,ND
Diospyros melanoxylon,ND
Diospyros mespiliformis,PD
Diospyros mollis,ND
Diospyros mollis,PD
Diospyros morrisiana,ND
Diospyros mun,ND
Diospyros obovata,PD
Diospyros palmeri,PD
Diospyros palmeri,PD
Diospyros pendula,PD
Diospyros pilosantera,ND
Diospyros quaesita,PD
Diospyros retrofracta,ND
Diospyros sandwicensis,ND
Diospyros sandwicensis,PD
Diospyros sanzaminika,ND
Diospyros sumatrana,ND
Diospyros texana,ND
Diospyros undulata,PD
Diospyros vaccinioides,PD
Diospyros virginiana,PD
Diospyros whyteana,PD
Diospyros xanthochlamys,ND
Diospyros zombensis,PD
Diphasia klaineana,PD
Diphysa robinioides,ND
Diphysa robinioides,ND
Diplachne dubia,PD
Diplachne fusa,PD
Diplachne fusca,PD
Diplachne fusca,PD
Diploglottis diphyllostegia,ND
Diploglottis diphyllostegia,PD
Diploknema butyracea,ND
Diploknema butyracea,PD
Diploknema sebifera,ND
Diplolaena angustifolia,PD
Diplolaena dampieri,PD
Diplolaena grandiflora,ND
Diplospora dubia,PD
Diplospora malaccensis,ND
Diplotaenia damavandica,MPD
Diplotaenia damavandica,MPD
Diplotaxis erucoides,ND
Diplotaxis ilorcitana,PD
Diplotaxis virgata,PD
Diplotropis purpurea,ND
Dipsacus japonicus,PD
Dipsacus sylvestris,ND
Dipteracanthus patulus,ND
Dipterocarpus alatus,ND
Dipterocarpus baudii,ND
Dipterocarpus chartaceus,ND
Dipterocarpus cornutus,ND
Dipterocarpus costatus,ND
Dipterocarpus costatus,ND
Dipterocarpus grandiflorus,ND
Dipterocarpus kunstleri,ND
Dipterocarpus macrocarpus,ND
Dipterocarpus oblongifolius,ND
Dipterocarpus obtusifolius,ND
Dipterocarpus obtusifolius,ND
Dipterocarpus sublamellatus,ND
Dipterocarpus taudii,ND
Dipterocarpus tuberculatus,ND
Dipterocarpus tuberculatus,ND
Dipterocarpus turbinatus,ND
Dipterocarpus turbinatus,ND
Dipterocarpus zeylanicus,ND
Dipteronia dyeriana,PD
Dipteryx alata,PY
Dipteryx alata,PY
Dipteryx magnifica,ND
Dipteryx magnifica,PY
Dipteryx odorata,ND
Dipteryx odorata,PY
Dipteryx oleifera,PD
Dipteryx panamensis,ND
Diptychocarpus strictus,PD
Dirca occidentalis,PD
Dirca occidentalis,PD
Dirca palustris,PD
Discaria nitida,PD
Discaria pubescens,PD
Discaria toumatou,PYPD
Dischidia nummularia,ND
Discocactus zenthneri,PD
Discoglypremna caloneura,ND
Discopodium penninervium,ND
Discopodium penninervium,PD
Disporum lanuginosum,MPD
Disporum smithii,MPD
Distemonanthus benthamianus,ND
Distemonanthus benthamianus,PY
Distichlis spicata,PD
Distichlis stricta,PD
Distichostemon hispidulus,PY
Dobera glabra,PD
Doboecia cantabrica,PD
Dodecatheon alpinum,PD
Dodecatheon meadia,PD
Dodecatheon pulchellum,PD
Dodecatheon pulchellum,PD
Dodonaea aptera,PY
Dodonaea hackettiana,PY
Dodonaea platyptera,ND
Dodonaea platyptera,PY
Dodonaea ptarmicaefolia,PY
Dodonaea stenozyga,PY
Dodonaea subglandulifera,PY
Dodonaea triquetra,PY
Dodonaea viscosa,PY
Dodonaea viscosa,PY
Dodonaea viscosa,PY
Dodonea angustifolia,PY
Dodonea angustifolia,PY
Dodonea stenozyga,PY
Dodonea viscosa,PY
Dodonea viscosa,PY
Dolichandrone spathacea,ND
Dolichandrone spathacea,ND
Doliocarpus dentatus,MPD
Doliocarpus major,MPD
Doliocarpus olivaceus,MPD
Doliocarpus spraguei,MD
Dombeya goetzii,PD
Dombeya torrida,ND
Dontostemon integrifolius,PD
Dontostemon micranthus,PD
Doronicum stenoglossum,PD
Doryanthes excelsa,PD
Dorycnium pentaphyllum,PY
Dovea macrocarpa,PD
Dovea macrocarpa,PD
Dovyalis caffra,ND
Dovyalis zenkeri,ND
Downingia elegans,ND
Draba eriopoda,PD
Draba lanceolata,PD
Draba mongolica,PD
Draba muralis,PD
Draba verna,PD
Dracaena mannii,PD
Dracocephalum heterophyllum,PD
Dracocephalum moldavica,PD
Dracocephalum purdomii,PD
Dracocephalum tangutica,PD
Dracontomelom dao,PD
Dracontomelom duperreanum,PD
Dracontomelom mangiferum,PD
Dracontomelum dao,PD
Drimia robusta,MD
Drimycarpus luridus,PD
Drimys brasiliensis,MPD
Drimys confertifolia,MPD
Drimys granadensis,MPD
Drimys winteri,MD
Drimys winteri,MPD
Drosanthemum hispidum,PD
Drosanthemum montaguense,ND
Drosanthemum speciosum,PD
Drosanthemum thudichumii,PD
Drosera anglica,PD
Drosera anglica,PD
Drosera gigantea,PD
Drosera glanduligera,PD
Drosera heterophylla,PD
Drosera macrantha,PD
Drosera menziesii,PD
Drosera pallida,PD
Drosera stolonifera,PD
Dryandra acanthopoda,ND
Dryandra anatona,ND
Dryandra arctotidis,PD
Dryandra aurantia,ND
Dryandra baxteri,PD
Dryandra borealis,PD
Dryandra calophylla,PD
Dryandra carlinoides,PD
Dryandra cirsioides,PD
Dryandra conferta,ND
Dryandra corvijuga,ND
Dryandra cuneata,PD
Dryandra cynaroides,PD
Dryandra epimicta,ND
Dryandra erythrocephala,ND
Dryandra erythrocephala,PD
Dryandra falcata,PD
Dryandra ferruginea,ND
Dryandra ferruginea,PD
Dryandra foliosissima,ND
Dryandra foliosissima,PD
Dryandra formosa,PD
Dryandra fraseri,ND
Dryandra fraseri,PD
Dryandra fuscobractea,ND
Dryandra ionthocarpa,ND
Dryandra lepidorhiza,ND
Dryandra longifolia,ND
Dryandra meganotia,ND
Dryandra mimica,ND
Dryandra montana,PD
Dryandra mucronulata,PD
Dryandra nivea,ND
Dryandra nivea,PD
Dryandra nobilis,PD
Dryandra obtusa,PD
Dryandra octotriginta,ND
Dryandra plumosa,PD
Dryandra polycephala,PD
Dryandra praemorsa,PD
Dryandra preissii,PD
Dryandra proteoides,PD
Dryandra pteridifolia,ND
Dryandra pteridifolia,PD
Dryandra quercifolia,PD
Dryandra seneciifolia,ND
Dryandra seneciifolia,PD
Dryandra serra,ND
Dryandra serra,PD
Dryandra serratuloides,ND
Dryandra sessilis,PD
Dryandra shuttleworthiana,PD
Dryandra squarrosa,ND
Dryandra stricta,ND
Dryandra stupposa,PD
Dryandra subulata,PD
Dryandra tenuifolia,PD
Dryandra vestita,PD
Dryandra viscida,PD
Dryas integrifolia,ND
Dryas octopetala,PD
Drymophloeus beguinii,MD
Drymophloeus olivaeformis,MPD
Dryobalanops aromatica,ND
Dryobalanops lanceolata,ND
Dryobalanops oblongifolia,ND
Drypetes assamicus,PD
Drypetes gossweileri,PD
Drypetes kikir,PD
Drypetes klainei,ND
Drypetes lateriflora,PD
Drypetes littoralis,ND
Drypetes longifolia,PD
Drypetes pendula,PD
Drypetes roxburghii,PD
Duabanga grandiflora,ND
Duabanga sonneratioides,ND
Dubautia herbstobatae,PD
Dubautia latifolia,PD
Dubautia menziesii,PD
Dubautia scabra,PD
Duboisia hopwoodii,PD
Duboisia leichhardtii,PD
Duboscia macrocarpa,ND
Duboscia viridiflora,ND
Duboscia viridiflora,PY
Duboscia viridiflora,PY
Duchesnea indica,PD
Duckeodendron cestroides,PD
Duguetia lanceolata,MPD
Dulichium aurundinaceum,PD
Dumoria heckelii,PD
Duranta repens,PD
Durio carinatus,ND
Durio graveolens,ND
Durio griffithii,ND
Durio lowianus,ND
Durio malaccensis,PD
Durio oxleyanus,ND
Durio singaporensis,PD
Durio zibethinus,ND
Dussia mexicana,PY
Duthiea brachypodia,PD
Dyckia encholirioides,ND
Dyckia pseudococcinea,ND
Dyckia pseudococcinea,ND
Dyckia sordida,ND
Dyckia sordida,PD
Dyckia tuberosa,ND
Dyckia ursina,ND
Dyera costulata,PD
Dypsis decaryi,MPD
Dypsis lutescens,MPD
Dypsis pinnatifrons,MD
Dysoxylum allectium,PD
Dysoxylum angustifolium,ND
Dysoxylum arborescens,PD
Dysoxylum cauliflorum,PD
Dysoxylum densiflorum,PD
Dysoxylum excelsum,PD
Dysoxylum excelsum,PD
Dysoxylum gaudichaudianum,ND
Dysoxylum pettigreweanum,ND
Dysoxylum spectabile,ND
Ebenopsis ebano,PY
Eccremocarpus scaber,PD
Echinacea angustifolia,PD
Echinacea pallida,PD
Echinacea purpurea,PD
Echinacea purpurea,PD
Echinacea simulata,PD
Echinacea tennesseensis,PD
Echinocactus glaucescens,PD
Echinocactus grusonii,PD
Echinocactus platyacanthus,PD
Echinocactus texensis,ND
Echinochloa colona,PD
Echinochloa colona,PD
Echinochloa colonum,PD
Echinochloa crus-galli,PD
Echinochloa crus-galli,PD
Echinochloa crusgalli,PD
Echinochloa hispidula,PD
Echinochloa oryzicola,PD
Echinocystis lobata,PD
Echinodorus rostratus,PD
Echinolaena inflexa,PD
Echinomastus mariposensis,PD
Echinopogon caespitosus,ND
Echinopogon caespitosus,PD
Echinops sphaerocephalus,ND
Echinops spinosissimus,PD
Echinopsis thionantha,ND
Echinospartium barnadesii,PY
Echium acanthocarpum,PD
Echium acanthocarpum,PD
Echium sericeum,PD
Echium strictum,PD
